GridNo,Yutm,Xutm,elev_ft_NG,StgJan05,Area,Distr_Pixel,Gradient
1,2948000,558400,15.98028571,16.21872085,2240000,7,0
2,2948000,561600,15.54068085,16.21555283,7520000,5,0
3,2944800,555200,15.30566667,16.26336797,480000,19,0.090909091
4,2944800,558400,15.7167037,16.25861634,8640000,12,0.090909091
5,2944800,561600,15.82170313,16.27075285,10240000,14,0.090909091
6,2944800,564800,15.48267857,16.29224137,4480000,15,0.090909091
7,2941600,555200,15.34521622,16.28206052,5920000,19,0.181818182
8,2941600,558400,15.97634375,16.29751572,10240000,21,0.181818182
9,2941600,561600,15.87390625,16.31924462,10240000,23,0.181818182
10,2941600,564800,15.44485938,16.32616344,10240000,24,0.181818182
11,2941600,568000,15.11715556,16.31786402,7200000,36,0.181818182
12,2941600,571200,15.07933333,16.26619148,960000,38,0.181818182
13,2938400,555200,15.31142188,16.314046,10240000,40,0.272727273
14,2938400,558400,15.8719375,16.31837216,10240000,42,0.272727273
15,2938400,561600,15.78785938,16.33788341,10240000,44,0.272727273
16,2938400,564800,15.57351563,16.32940072,10240000,45,0.272727273
17,2938400,568000,15.47109375,16.28623912,10240000,47,0.272727273
18,2938400,571200,15.27202128,16.21064068,7520000,49,0.272727273
19,2935200,555200,14.86204688,16.38098624,10240000,64,0.363636364
20,2935200,558400,15.64998438,16.3257201,10240000,66,0.363636364
21,2935200,561600,15.65078125,16.32059115,10240000,68,0.363636364
22,2935200,564800,15.52398438,16.30130884,10240000,69,0.363636364
23,2935200,568000,15.44792188,16.24061891,10240000,71,0.363636364
24,2935200,571200,15.309375,16.17194492,10240000,73,0.363636364
25,2935200,574400,15.22337037,16.15953806,4320000,74,0.363636364
26,2932000,555200,14.8558125,16.43022498,10240000,77,0.454545455
27,2932000,558400,15.46523438,16.31000876,10240000,79,0.454545455
28,2932000,561600,15.51585938,16.28426987,10240000,81,0.454545455
29,2932000,564800,15.47042188,16.27141583,10240000,82,0.454545455
30,2932000,568000,15.42303125,16.21784681,10240000,84,0.454545455
31,2932000,571200,15.36778125,16.16285384,10240000,86,0.454545455
32,2932000,574400,15.18963636,16.16488956,8800000,87,0.454545455
33,2928800,555200,14.7701875,16.33923429,10240000,103,0.545454545
34,2928800,558400,15.255,16.22805294,10240000,105,0.545454545
35,2928800,561600,15.33426563,16.24926245,10240000,107,0.545454545
36,2928800,564800,15.36896875,16.25787655,10240000,108,0.545454545
37,2928800,568000,15.40717188,16.21603206,10240000,110,0.545454545
38,2928800,571200,15.27965625,16.17353621,10240000,112,0.545454545
39,2928800,574400,15.06554688,16.18098229,10240000,113,0.545454545
40,2925600,555200,14.55224,16.16917053,8.00E+06,116,0.636363636
41,2925600,558400,14.86728125,16.13543886,10240000,130,0.636363636
42,2925600,561600,14.98148438,16.22138602,10240000,132,0.636363636
43,2925600,564800,15.40657813,16.25001937,10240000,133,0.636363636
44,2925600,568000,15.3675625,16.22348389,10240000,135,0.636363636
45,2925600,571200,15.13060938,16.16896772,10240000,137,0.636363636
46,2925600,574400,14.99652459,16.14450971,9760000,138,0.636363636
47,2922400,555200,14.80825,16.08176374,1280000,129,0.727272727
48,2922400,558400,14.41393443,16.1209259,9760000,141,0.727272727
49,2922400,561600,14.69967188,16.20794386,10240000,142,0.727272727
50,2922400,564800,15.20539063,16.24692497,10240000,144,0.727272727
51,2922400,568000,15.12742188,16.20726922,10240000,146,0.727272727
52,2922400,571200,15.03223438,16.02539647,10240000,148,0.727272727
53,2922400,574400,14.94808696,15.86844195,7360000,149,0.727272727
54,2919200,558400,13.865625,16.18382756,3840000,160,0.818181818
55,2919200,561600,14.094,16.21331996,10240000,160,0.818181818
56,2919200,564800,14.5909375,16.26275721,10240000,162,0.818181818
57,2919200,568000,15.274125,16.17174818,10240000,164,0.818181818
58,2919200,571200,15.0366875,15.82770318,10240000,166,0.818181818
59,2919200,574400,14.761,15.57227551,5280000,167,0.818181818
60,2916000,561600,13.05132258,16.2192101,4960000,169,0.909090909
61,2916000,564800,13.3638,16.30042541,8800000,170,0.909090909
62,2916000,568000,14.42321875,16.12459919,10240000,172,0.909090909
63,2916000,571200,14.80255357,15.63472518,8960000,174,0.909090909
64,2916000,574400,14.42415789,15.36578936,3040000,175,0.909090909
65,2912800,568000,12.75771429,16.07287788,1120000,177,1
